,precision,recall,f1-score,support
AMAZON,0.768990634755463,0.739,0.7536970933197348,1000.0
GMAIL,0.8754940711462451,0.886,0.8807157057654076,1000.0
GOOGLE,0.5613850996852047,0.535,0.5478750640040962,1000.0
HTTP,0.7934131736526946,0.795,0.7942057942057942,1000.0
HTTP_CONNECT,0.5517515923566879,0.693,0.6143617021276596,1000.0
HTTP_PROXY,0.5966562173458725,0.571,0.5835462442514052,1000.0
MICROSOFT,0.7706806282722513,0.736,0.7529411764705882,1000.0
SSL,0.8228460793804453,0.85,0.8362026561731432,1000.0
WINDOWS_UPDATE,0.9187763713080169,0.871,0.8942505133470225,1000.0
YOUTUBE,0.6056338028169014,0.559,0.5813832553302132,1000.0
accuracy,0.7235,0.7235,0.7235,0.7235
macro avg,0.7265627670719781,0.7235,0.7239179204995064,10000.0
weighted avg,0.7265627670719782,0.7235,0.7239179204995063,10000.0
