,precision,recall,f1-score,support
AMAZON,0.7055214723926381,0.69,0.6976744186046512,1000.0
GMAIL,0.6556420233463035,0.674,0.6646942800788954,1000.0
GOOGLE,0.461,0.461,0.461,1000.0
HTTP,0.761996161228407,0.794,0.7776689520078355,1000.0
HTTP_CONNECT,0.5041782729805014,0.543,0.522869523350987,1000.0
HTTP_PROXY,0.42017738359201773,0.379,0.39852786540483703,1000.0
MICROSOFT,0.6482504604051565,0.704,0.6749760306807286,1000.0
SSL,0.7370203160270881,0.653,0.6924708377518558,1000.0
WINDOWS_UPDATE,0.7312775330396476,0.83,0.7775175644028103,1000.0
YOUTUBE,0.4780600461893764,0.414,0.4437299035369775,1000.0
accuracy,0.6142,0.6142,0.6142,0.6142
macro avg,0.6103123669201136,0.6142,0.6111129375819578,10000.0
weighted avg,0.6103123669201136,0.6142,0.6111129375819578,10000.0
