,precision,recall,f1-score,support
AMAZON,0.7669404517453798,0.747,0.756838905775076,1000.0
GMAIL,0.7870182555780934,0.776,0.7814702920443102,1000.0
GOOGLE,0.5576131687242798,0.542,0.5496957403651116,1000.0
HTTP,0.7904761904761904,0.83,0.8097560975609757,1000.0
HTTP_CONNECT,0.5424785658612626,0.696,0.6097240473061761,1000.0
HTTP_PROXY,0.5714285714285714,0.524,0.5466875326030256,1000.0
MICROSOFT,0.7339805825242719,0.756,0.7448275862068966,1000.0
SSL,0.7571701720841301,0.792,0.7741935483870968,1000.0
WINDOWS_UPDATE,0.8731268731268731,0.874,0.8735632183908046,1000.0
YOUTUBE,0.6180836707152496,0.458,0.5261344055140724,1000.0
accuracy,0.6995,0.6995,0.6995,0.6995
macro avg,0.6998316502264302,0.6995,0.6972891374153546,10000.0
weighted avg,0.6998316502264302,0.6995,0.6972891374153545,10000.0
