,precision,recall,f1-score,support
AMAZON,0.8435870698644421,0.809,0.8259315977539561,1000.0
GMAIL,0.9178498985801217,0.905,0.9113796576032226,1000.0
GOOGLE,0.6625971143174251,0.597,0.6280904786954234,1000.0
HTTP,0.8461538461538461,0.847,0.8465767116441779,1000.0
HTTP_CONNECT,0.622759158222915,0.799,0.6999561979851073,1000.0
HTTP_PROXY,0.6811301715438951,0.675,0.6780512305374183,1000.0
MICROSOFT,0.8708971553610503,0.796,0.831765935214211,1000.0
SSL,0.8073555166374781,0.922,0.8608776844070962,1000.0
WINDOWS_UPDATE,0.9522821576763485,0.918,0.9348268839103869,1000.0
YOUTUBE,0.7112922002328289,0.611,0.6573426573426573,1000.0
accuracy,0.7879,0.7879,0.7879,0.7879
macro avg,0.7915904288590351,0.7878999999999999,0.7874799035093657,10000.0
weighted avg,0.791590428859035,0.7879,0.7874799035093656,10000.0
